"","plate","spratio","diagnosis","hum.pop.den","sample","kay.code","hy.id","dart.date","sample.origin","notes.appearance","dart.year","dob.date","dob.event.data","disappear.date","disappear.event.status","disappear.event.data","sex","status","mom","dad","number.littermates","litrank","toxo.status","age.mon.dart","dob.yr","age.cat.dart","mort.bin"
"1","plate2",0.71,"positive","hi",4249,"774","dra",2012-06-10,"blood",NA,2012,2007-11-15,"talek",2012-06-12,"dead","car","f","r","ali",NA,"1","1","1",54.8,2007,"adult",0
"2","plate2",0.87,"positive","hi",7277,"808","obam",2012-06-07,"blood",NA,2012,2008-11-13,"talek",2014-04-12,"dead","poison (april 2014 incident)","f","r","nav",NA,"1","2","1",42.8,2008,"adult",0
"3","plate2",0.7,"positive","hi",4795,"648","endr",2012-05-25,"blood",NA,2012,2010-11-01,"talek",2014-04-03,"dead","poison (april 2014 incident)","m","r","loki",NA,"1","2","1",18.8,2010,"subadult",0
"4","plate2",0.7,"positive","hi",3695,"658","gala",2013-09-04,"blood","white",2013,2012-01-06,"talek",2014-04-12,"dead","humans (poison - april 2014)","f","r","hel",NA,"0",NA,"1",19.9,2012,"subadult",0
"5","plate3",0.8,"positive","low",7508,"10","bb",1993-12-08,"blood",NA,1993,1989-07-13,"talek",1998-12-29,"dead","humans (spear)","f","r","bsh",NA,"1","1","1",52.9,1989,"adult",0
"6","plate3",0.49,"doubtful","low",7074,"112","mike",1994-06-10,"blood","red; tube incorrectly says '628' and '10/5/11'",1994,NA,"talek",1997-11-19,"dead","lions","m","i",NA,NA,NA,NA,"0",NA,NA,"adult",1
"7","plate3",0.6,"positive","low",4118,"179","sim",1996-07-28,"blood","tube incorrectly says 7/29 but it's actually 7/28; min1",1996,NA,"talek",2000-03-17,"dls","humans (us)","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",0
"8","plate3",0.86,"positive","low",7452,"181","sein",1997-07-16,"blood","edta",1997,1995-03-22,"talek",2002-03-09,"dead","humans (masai?)","f","r","bsh","rcn","1","2","1",27.8,1995,"adult",0
"9","plate3",0.58,"positive","low",5996,"225","vgs",1999-03-05,"blood","edta;min1",1999,NA,"talek",2006-01-25,"dead","snakebite?","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",0
"10","plate3",1.09,"positive","low",5003,"24","mrb",1990-12-22,"blood",NA,1990,NA,"talek",1992-06-01,"dead","hyenas","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",0
"11","plate3",1.08,"positive","low",5009,"25","coch",1993-12-15,"blood",NA,1993,1985-02-01,"talek",1995-09-02,"dead","lions","f","r",NA,NA,NA,NA,"1",106.4,1985,"adult",1
"12","plate3",0.73,"positive","low",4598,"269a","dub",1999-10-19,"blood","edta",1999,NA,NA,2016-06-04,"dead","lions","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",1
"13","plate3",1.05,"positive","low",6879,"27","bsh",1994-05-02,"blood",NA,1994,1983-01-01,"talek",1999-05-29,"dead","kidney failure","f","r","kb",NA,NA,NA,"1",136,1983,"adult",0
"14","plate3",0.59,"positive","low",5745,"30","dj",1991-01-19,"blood","pink",1991,1985-11-15,"talek",1996-10-27,"dls","lions","f","r","n2",NA,NA,NA,"1",62.1,1985,"adult",1
"15","plate3",0.71,"positive","low",3770,"36","ua",1994-06-26,"blood","says ""junk p"" on tube",1994,1987-03-01,"talek",2001-05-05,"dls","lions","f","r","79",NA,"0","1","1",87.8,1987,"adult",1
"16","plate3",0.82,"positive","low",5762,"38","23s",1991-02-25,"blood","pink",1991,1983-06-01,"talek",1995-03-25,"dls","lions","f","r","27",NA,NA,NA,"1",92.8,1983,"adult",1
"17","plate4",0.81,"positive","low",4369,"9","hol",1992-10-25,"blood",NA,1992,NA,"talek",1993-03-30,"dead","lions","m","i",NA,NA,NA,NA,"1",NA,NA,"adult",1
"18","plate4",0.12,"negative","low",13399,"137","wm",1995-02-09,"blood","cream; normal",1995,1994-07-07,"talek",1995-03-13,"dead","disease","f","r","jab",NA,"1","1","0",7.1,1994,"cub",0
"19","plate4",0.81,"positive","low",12163,"138","zulu",1995-02-10,"blood","cream; normal",1995,1994-05-01,"talek",1997-08-31,"dead","lions","m","r","pt",NA,"1","2","1",9.4,1994,"cub",1
"20","plate4",0.57,"positive","low",6592,"197","mrph",1997-06-07,"blood",NA,1997,1996-06-25,"talek",2011-04-10,"dead","lions","f","r","bsh",NA,"1","1","1",11.4,1996,"cub",1
"21","plate4",0.4,"negative","low",7608,"212","wash",1997-06-30,"blood",NA,1997,1996-10-23,"talek",1997-08-27,"dead","humans","m","r","nav","mike","1","2","0",8.2,1996,"cub",0
"22","plate4",1.04,"positive","low",5401,"249","csn",1999-01-29,"blood","frozen on side",1999,1998-02-15,"talek",2005-05-03,"dead","lions","f","r","bsh","fn","0",NA,"1",11.4,1998,"cub",1
"23","plate4",0.08,"negative","low",5330,"259","sch",1999-06-24,"blood",NA,1999,1998-11-20,"talek",2000-04-04,"dead","lions","m","r","ua","mig","1","2","0",7.1,1998,"cub",1
"24","plate5",0.1,"negative","low",4660,"272","coo",1999-09-12,"blood",NA,1999,1998-12-03,"talek",2005-12-07,"dead","croc?","f","r","kip","tz","1","1","0",9.3,1998,"cub",0
"25","plate5",0.58,"positive","low",5313,"286","ath",1999-11-26,"blood",NA,1999,1998-11-20,"talek",2004-03-31,"dead","snake bite","f","r","mrph",NA,"1","1","1",12.2,1998,"subadult",0
"26","plate5",0.71,"positive","low",4077,"290","cyp",1999-12-18,"blood","collected from dead hyena",1999,1999-05-13,"talek",1999-12-18,"dead","lions","m","r","bern",NA,"1","1","1",7.2,1999,"cub",1
"27","plate5",0.16,"negative","low",6136,"82","ger",1993-07-12,"blood","frozen on side",1993,1992-11-07,"talek",2005-06-02,"dead","humans","f","r","coch","en","1","1","0",8.1,1992,"cub",0
"28","plate5",0.7,"positive","low",6141,"83","bern",1993-07-19,"blood",NA,1993,1992-10-01,"talek",2000-09-04,"dls","lions","f","r","lg","hol","0","1","1",9.6,1992,"cub",1
"29","plate5",0.13,"negative","low",4712,"89","gol",1992-05-26,"blood","no hyena id on vial",1992,1991-07-20,"talek",2001-03-14,"dead","humans (speared)","f","r","es","fn","1","1","0",10.2,1991,"cub",0
"30","plate5",0.08,"negative","low",5658,"173","pf",1996-06-21,"blood",NA,1996,1995-05-20,"talek",1996-07-28,"dead","humans","m","r","bail",NA,"0",NA,"0",13.1,1995,"subadult",0
"31","plate5",0.94,"positive","low",5671,"174","arse",1996-08-09,"blood",NA,1996,1995-03-22,"talek",1996-08-09,"dead","humans (us)","f","r","bsh","rcn","1","1","1",16.6,1995,"subadult",0
"32","plate5",0.9,"positive","low",4115,"237","ldv",1999-03-07,"blood",NA,1999,1997-11-24,"talek",2007-04-23,"dead","lions","m","r","hg","mer","1","2","1",15.4,1997,"subadult",1
"33","plate5",0.66,"positive","low",4588,"265","foz",1999-08-19,"blood",NA,1999,1997-12-15,"talek",2011-03-28,"dead","lions","m","r","hob","mike","1",NA,"1",20.1,1997,"subadult",1
